Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ACCS,ACCESS Newswire Inc. Common Stock,$12.10,0.34,2.891%,46557690.00,United States,,8150,Consumer Discretionary,Publishing
ACU,Acme United Corporation. Common Stock,$42.83,-0.17,-0.395%,162355210.00,United States,1988,5202,Consumer Discretionary,Industrial Machinery/Components
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,$5.88,-0.07,-1.176%,631291500.00,United States,,185350,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$0.8345,-0.0055,-0.655%,9434329.00,United States,,92112,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$9.15,0.06,0.66%,6992787.00,,,3453,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AIRI,Air Industries Group Common Stock,$3.52,-0.08,-2.222%,13250114.00,United States,,294773,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.45,-0.13,-2.838%,246662837.00,,,717,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$2.71,-0.24,-8.136%,7740779.00,China,,3141,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$2.41,-0.06,-2.429%,15544500.00,United States,1988,8237,Health Care,Medical Specialities
AMZE,Amaze Holdings Inc. Common Stock,$11.40,1.39,13.886%,9206332.00,,2021,289216,Consumer Staples,Beverages (Production/Distribution)
APT,Alpha Pro Tech Ltd. Common Stock,$4.81,0.02,0.418%,52255850.00,Canada,2000,12358,Health Care,Industrial Specialties
APUS,Apimeds Pharmaceuticals US Inc. Common Stock,$1.84,0.06,3.371%,21299809.00,,2025,42435,Health Care,Biotechnology: Pharmaceutical Preparations
AREN,The Arena Group Holdings Inc. Common Stock,$5.74,-0.03,-0.52%,272999864.00,United States,2022,88015,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$7.21,0.16,2.27%,1284101000.00,,2023,1549394,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.29,0.07,3.153%,82883067.00,United States,,12087,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$4.29,0.07,1.659%,621047509.00,Canada,,7334250,Basic Materials,Metal Mining
ATCH,AtlasClear Holdings Inc. Common Stock,$0.202,-0.002,-0.98%,3150585.00,,2024,651320,Finance,Finance: Consumer Services
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$1.57,0.05,3.289%,48977549.00,United States,,121406,Health Care,Biotechnology: Pharmaceutical Preparations
AUST,Austin Gold Corp. Common Shares,$1.37,0.00,0.00%,18182298.00,,2022,29392,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.51,0.00,0.00%,9787572.00,United States,1998,587,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$5.00,-0.02,-0.398%,33249260.00,,2024,5099,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.2276,-0.0038,-1.642%,3750018.00,,2023,1306783,Health Care,Biotechnology: Pharmaceutical Preparations
BATL,Battalion Oil Corporation Common Stock,$1.30,-0.03,-2.256%,21393532.00,United States,,110487,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$19.18,0.03,0.157%,0.00,United States,1972,7675,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$21.53,-0.32,-1.465%,,United States,,5115,,
BDL,Flanigan's Enterprises Inc. Common Stock,$33.69,0.44,1.323%,62617817.00,United States,1972,718,Consumer Discretionary,Restaurants
BGI,Birks Group Inc. Common Stock,$0.87,-0.028,-3.118%,16674393.00,Canada,,55184,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$31.81,0.37,1.177%,487385281.00,United States,1997,45199,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$13.50,0.21,1.58%,54970677.00,,2022,2332,Real Estate,Real Estate Investment Trusts
BKTI,BK Technologies Corporation Common Stock,$39.26,-1.70,-4.15%,144225300.00,United States,,91109,Technology,Radio And Television Broadcasting And Communications Equipment
BMNR,BitMine Immersion Technologies Inc. Common Stock,$41.02,0.40,0.985%,176524073.00,,2025,28377504,Finance,Finance: Consumer Services
BQ,Boqii Holding Limited Class A Ordinary Shares,$3.40,-0.95,-21.839%,3643202.00,,2025,234110,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.74,0.19,5.352%,341005155.00,United States,,401987,Finance,Major Banks
BRIA,BrilliA Inc Class A Ordinary Shares,$2.34,-0.04,-1.681%,71662500.00,,2024,1455,Consumer Discretionary,Apparel
BRN,Barnwell Industries Inc. Common Stock,$1.15,-0.07,-5.738%,11561564.00,United States,1965,49613,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.47,-0.02,-0.573%,4585163755.00,Canada,,27406245,Basic Materials,Precious Metals
BURU,Nuburu Inc. Common Stock,$0.316,0.0058,1.87%,16572098.00,United States,,2933530,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$1.03,-0.005,-0.483%,10663681.00,Israel,,99109,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$4.00,0.02,0.503%,296913336.00,United States,,1767841,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$4.75,-0.05,-1.042%,38390255.00,United States,2022,10797,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$48.05,-0.09,-0.187%,11629310860.00,United States,1951,10066,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$9.68,0.08,0.833%,68085006.00,United States,1999,28334,Finance,Finance/Investors Services
CHEB,Chenghe Acquisition II Co. Class A Ordinary Shares,$11.33,1.2988,12.948%,0.00,,2024,9242,,
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.99,0.02,0.673%,0.00,United States,,168750,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$26.67,-0.41,-1.514%,328535915.00,United States,1998,8632,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$11.69,0.07,0.602%,24001078.00,United States,2003,3826,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.579,-0.181,-23.816%,18407904.00,,2021,7439200,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$8.27,0.03,0.364%,0.00,United States,2003,5337941,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$20.89,0.03,0.144%,403068038.00,Canada,,204768,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$16.72,-0.30,-1.763%,150346825.00,United States,1996,21816,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$10.23,0.45,4.601%,867988483.00,,2024,95215,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$29.30,0.58,2.019%,171682618.00,China,2016,7981,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$10.50,-0.02,-0.19%,21574077.00,United States,,5528,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$1.89,-0.013,-0.683%,6165184.00,China,,112278,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.96,0.02,0.252%,0.00,United States,2003,3068630,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$19.66,-0.71,-3.486%,246801574.00,United States,2021,44241,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$1.27,0.13,11.404%,109266830.00,,2022,6844643,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$3.63,0.10,2.833%,11015507.00,United States,1997,1150369,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$12.12,0.00,0.00%,11709520.00,United States,1930,360,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$3.49,0.10,2.95%,45370251.00,United States,2022,28990,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$7.47,-0.17,-2.225%,149339568.00,Canada,,299814,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$4.21,0.07,1.691%,471054425.00,United States,2022,641928,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$19.92,6.92,53.231%,80678968.00,,2023,420691,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.14,0.00,0.00%,0.00,United States,1998,1244618,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$119.96,2.11,1.79%,77429622.00,United States,1999,225,Consumer Discretionary,Food Distributors
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$12.41,-0.075,-0.601%,0.00,,2022,13113,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.86,0.08,4.494%,1667200846.00,Canada,,67478439,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.95,0.021,2.26%,8637892.00,United States,,45632,Consumer Discretionary,Containers/Packaging
DVS,Dolly Varden Silver Corporation Common Shares,$3.87,0.20,5.45%,308121842.00,,2025,838218,,
DXF,Eason Technology Limited American Depositary Shares (each representing sixty-thousand (60000) Ordinary Shares),$5.15,0.25,5.102%,1284740.00,,,18322,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$7.08,0.04,0.568%,0.00,United States,2003,266311,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$10.40,0.01,0.096%,0.00,United States,1986,20356,Finance,Finance/Investors Services
