Ticker,EPS_2021,EPS_2022
A,3.94,4.18
AA,2.26,-0.57
AACT,,-5.6e-05
AAM,,
AAMI,10.29,2.33
AAP,9.55,8.27
AAT,0.47,0.72
AAUC,,-0.029594
AB,3.88,2.69
ABBV,6.45,6.63
ABCB,5.4,4.99
ABEV,0.82,0.93
ABG,26.49,44.61
ABM,1.86,3.41
ABR,2.28,1.67
ABR^D,,
ABR^E,,
ABR^F,,
ABT,3.94,3.91
AC,2.68,-2.22
ACA,1.42,5.05
ACCO,1.05,-0.14
ACEL,0.33,0.81
ACHR,-3.14,-1.32
ACI,1.47,2.7
ACM,1.16,2.18
ACN,9.16,10.71
ACP,2.09,-2.48
ACP^A,,
ACR,1.85,-1.0
ACR^C,,
ACR^D,,
ACRE,1.42,0.58
ACV,12.72,-0.08
ACVA,-0.62,-0.65
ADC,1.78,1.83
ADC^A,,
ADCT,-3.0,-1.99
ADM,4.79,7.71
ADNT,11.58,-1.27
ADT,-0.41,0.19
ADX,5.59,-3.99
AEE,3.84,4.14
AEFC,,
AEG,0.94,-0.3
AEM,2.22,1.53
AEO,,2.03
AER,6.71,-3.02
AES,-0.61,-0.82
AESI,0.074509,3.797296
AFB,0.96,-3.39
AFG,23.3,10.53
AFGB,,
AFGC,,
AFGD,,
AFGE,,
AFL,6.39,6.93
AG,-0.02,-0.43
AGCO,11.85,11.87
AGD,3.57,-2.12
AGI,-0.17,0.09
AGL,-1.09,-0.26
AGM,9.92,13.87
AGM^D,,
AGM^E,,
AGM^F,,
AGM^G,,
AGO,5.23,1.92
AGRO,1.176605,0.979
AGX,,2.4
AHH,0.17,0.93
AHH^A,,
AHL,0.493411,0.107623
AHL^D,,
AHL^E,,
AHL^F,,
AHR,-0.721851,-1.227936
AHT,-124.3,-44.6
AHT^D,,
AHT^F,,
AHT^G,,
AHT^H,,
AHT^I,,
AI,,-1.84
AIG,11.95,12.94
AII,,
AIN,3.65,3.04
AIO,11.8,
AIR,1.0,2.17
AIT,3.68,6.58
AIV,-0.04,0.49
AIZ,10.2,5.05
AIZN,,
AJG,4.37,5.19
AKA,-0.72,-16.44
AKO/A,,
AKO/B,,
AKR,0.26,-0.4
AL,3.57,-1.24
ALB,1.06,22.84
ALB^A,,
ALC,0.76,0.68
ALE,3.23,3.38
ALEX,0.48,-0.7
ALG,6.75,8.54
ALIT,,-0.129615
ALK,3.77,0.45
ALL,4.96,-5.22
ALL^B,,
ALL^H,,
ALL^I,,
ALL^J,,
ALLE,5.34,5.19
ALLY,8.22,5.03
ALSN,4.13,5.53
ALTG,-0.74,0.2
ALTG^A,,
ALUR,-7.325491,-21.854436
ALV,4.96,4.85
ALX,25.94,11.24
AM,0.16,0.68
AMBC,-0.61,11.31
AMBP,-0.39,0.38
AMC,-11.735294,-8.205882
AMCR,0.602,0.529
AME,4.25,5.01
AMG,13.05,25.35
AMH,0.41,0.71
AMH^G,,
AMH^H,,
AMN,6.81,9.9
AMP,28.48,27.7
AMPX,-0.117573,-0.24
AMPY,-0.84,1.44
AMR,15.3,79.49
AMRC,1.35,1.78
AMRZ,1.521621,2.004704
AMT,5.66,3.82
AMTB,3.01,1.85
AMTD,3.72,316.229603
AMTM,2.211111,-0.93
AMWL,-13.8,-19.8
AMX,58.831915,23.8
AN,18.306667,24.29
ANET,0.6575,1.0675
ANF,,4.2
ANG^B,,
ANG^D,,
ANRO,-0.944096,-2.134823
ANVS,-1.9,-3.1
AOD,2.91,-1.68
AOMD,,
AOMN,,
AOMR,1.01,-7.65
AON,5.55,12.14
AORT,-0.38,-0.48
AOS,3.02,1.51
AP,-0.2,0.18
APAM,5.09,2.94
APD,9.43,10.14
APG,-0.67,0.1
APH,1.27,1.53
