Ticker,EPS_2021,EPS_2022
AACB,,
AACBR,,
AACBU,,
AACG,-1.14,-1.52
AACI,,
AACIU,,
AACIW,,
AAL,-3.09,0.19
AAME,0.19,0.06
AAOI,-2.01,-2.38
AAON,0.726667,1.24
AAPG,-12.28,-13.4
AAPL,5.61,6.11
AARD,,-1.39364
ABAT,-1.2,-0.8004
ABCL,0.48,0.5
ABEO,-21.5,-5.53
ABL,0.019802,0.628999
ABLLL,,
ABLLW,,
ABLV,0.205287,0.180536
ABLVW,,
ABNB,-0.57,2.79
ABOS,-5.02,-1.06
ABP,,-0.340653
ABPWW,,
ABSI,-2.08,-1.15
ABTS,-2.175,-9.559995
ABUS,-0.83,-0.46
ABVC,-5.1,-5.2
ABVE,,-0.223708
ABVEW,,
ABVX,-2.75,-3.18
ACAD,-1.05,-1.34
ACB,-41.0,-79.9
ACDC,0.0,1.694444
ACET,-2.0,-1.7
ACGL,5.23,3.8
ACGLN,,
ACGLO,,
ACHC,2.1,2.98
ACHV,-4.08,-4.0
ACIC,-1.35,-10.91
ACIU,-0.97,-0.85
ACIW,1.08,1.24
ACLS,2.88,5.46
ACLX,-1.936856,-5.19
ACMR,0.576667,0.59
ACNB,3.19,4.15
ACNT,2.14,2.12
ACOG,-9.25,-4.5
ACON,-121548.734694,-138594.740741
ACONW,,
ACRS,-1.6,-1.33
ACRV,-1.258189,-7.56
ACT,3.36,4.31
ACTG,1.91,-3.13
ACTU,,-1.340945
ACXP,-1.49,-1.12
ADAG,-1.825,-1.85
ADAP,-1.02,-1.02
ADBE,10.02,10.1
ADD,-4.84,-19.9
ADEA,-0.53,-2.84
ADGM,-1.489285,-1.768273
ADI,3.46,5.25
ADIL,-26.0,-12.71
ADMA,-0.51,-0.33
ADN,-13.5,-43.2
ADNWW,,
ADP,6.07,7.0
ADPT,-1.48,-1.4
ADSE,-3.46,-0.39
ADSEW,,
ADSK,,2.24
ADTN,-0.18,-0.03
ADTX,-23185682.0,-2768755.3
ADUR,-0.78,-0.4225
ADUS,2.81,2.84
ADV,0.17,-4.33
ADVB,-0.084896,-0.032222
ADVM,-14.8,-15.6
ADVWW,,
