Symbol,Name,P/E 2021,P/E 2022
ACCS,ACCESS Newswire Inc.,,
ACU,Acme,14.36,11.05
AEF,27762,15.67,11.4
AEON,"AEON Biopharma, Inc.",,
AIM,AIM ImmunoTech Inc.,,
AIRI,Air Industries Group,,
AMBI,Ambipar Emergency Response,,
AMBO,Ambow Education Holding Ltd. Am,166.58,44.51
AMS,American Shared Hospital Servic,12.83,11.81
AMZE,"Amaze Holdings, Inc.",,
APT,"Alpha Pro Tech, Ltd.",25.04,11.91
APUS,"Apimeds Pharmaceuticals US, Inc",,
AREN,"The Arena Group Holdings, Inc.",43.08,33.03
ARMN,Aris Mining Corporation,24.96,19.89
ARMP,"Armata Pharmaceuticals, Inc.",,
ASM,Avino Silver & Gold Mines Ltd.,11.0,6.76
ATCH,"AtlasClear Holdings, Inc.",,
ATNM,"Actinium Pharmaceuticals, Inc. ",,
AUST,Austin Gold Corp.,,
AWX,Avalon Holdings Corporation,18.69,14.05
AXIL,"AXIL Brands, Inc.",,
AZTR,Azitra Inc,,
BATL,Battalion Oil Corporation,,
BCV,12944,9.44,6.93
BCV^A,,,
BDL,"Flanigan's Enterprises, Inc.",11.92,12.82
BGI,Birks Group Inc.,,
BHB,"Bar Harbor Bankshares, Inc.",8.49,8.91
BHM,"Bluerock Homes Trust, Inc.",,
BKTI,BK Technologies Corporation,6.06,4.85
BMNR,"BitMine Immersion Technologies,",,
BQ,Boqii Holding Limited,,
BRBS,"Blue Ridge Bankshares, Inc.",,
BRIA,BrilliA Inc,,
BRN,"Barnwell Industries, Inc.",,
BTG,B2Gold Corp,,
BURU,"Nuburu, Inc.",142.56,140.48
CANF,Can-Fite Biopharma Ltd Sponsore,,
CATX,"Perspective Therapeutics, Inc.",,
CCEL,"Cryo-Cell International, Inc.",821.8,520.36
CET,11017,3.1,3.12
CEV,10525,14.5,11.93
CHEB,Chenghe Acquisition II Co.,,
CIK,106937,8.43,7.56
CIX,CompX International Inc.,9.89,11.24
CKX,"CKX Lands, Inc.",30.86,29.15
CLDI,"Calidi Biotherapeutics, Inc.",,
CLM,Cornerstone Strategic Value Fd,4.05,3.81
CMCL,Caledonia Mining Corporation Pl,12.19,11.42
CMT,Core Molding Technologies Inc,9.01,7.73
CNL,Collective Mining Ltd.,,
COE,51Talk Online Education Group,,
COHN,Cohen & Company Inc.,,
CPHI,"China Pharma Holdings, Inc.",,
CRF,33138,4.3,4.04
CTGO,"Contango ORE, Inc.",,
CTM,"Castellum, Inc.",,
CVM,Cel-Sci Corporation,,
CVR,Chicago Rivet & Machine Co.,,
CVU,"CPI Aerostructures, Inc.",23.71,14.55
CYBN,Cybin Inc.,,
