Ticker,Company_Name,EPS_2013,EPS_2022,Years_Increased,Total_Growth
ACU,ACME UNITED CORP,0.08,3.45,9,3.37
AAON,"AAON, INC.",0.37,1.49,8,1.12
ADP,"AUTOMATIC DATA PROCESSING, INC.",2.52,5.7,8,3.18
ARTNA,ARTESIAN RESOURCES CORPORATION,0.83,1.79,8,0.9600000000000001
CACC,CREDIT ACCEPTANCE CORP,7.07,23.47,8,16.4
CDW,CDW CORP,0.12,5.45,9,5.33
CHKP,CHECK POINT SOFTWARE TECHNOLOGIES LTD.,2.54,5.96,9,3.42
CNXN,"PC CONNECTION, INC.",1.07,2.12,8,1.05
CTAS,Cintas Corporation,1.68,8.11,8,6.43
DORM,"Dorman Products, Inc.",1.47,3.3,8,1.8299999999999998
ECPG,"ENCORE CAPITAL GROUP, INC.",2.37,6.68,8,4.31
FNLC,"FIRST BANCORP, INC",0.28,2.48,8,2.2
FULT,FULTON FINANCIAL CORP,0.73,1.08,8,0.3500000000000001
FULTP,FULTON FINANCIAL CORP,0.73,1.08,8,0.3500000000000001
GABC,"German American Bancorp, Inc.",1.61,2.34,8,0.7299999999999998
GCBC,"GREENE COUNTY BANCORP, INC.",1.39,2.81,8,1.4200000000000002
ICLR,ICON plc,0.37,6.15,8,5.78
IDXX,IDEXX LABORATORIES INC /DE,2.78,6.71,8,3.93
ITIC,INVESTORS TITLE CO,3.2,35.28,8,32.08
JBSS,SANFILIPPO JOHN B & SON INC,0.26,4.69,8,4.430000000000001
LKQ,LKQ CORPORATION,0.27,2.09,8,1.8199999999999998
LMAT,"LEMAITRE VASCULAR, INC.",0.13,1.04,8,0.91
LOPE,"GRAND CANYON EDUCATION, INC.",1.12,5.45,9,4.33
MKTX,MARKETAXESS HOLDINGS INC,1.2,7.85,8,6.6499999999999995
MPWR,"Monolithic Power Systems, Inc.",0.38,3.5,8,3.12
MSEX,MIDDLESEX WATER COMPANY,0.84,2.18,8,1.3400000000000003
ORLY,O Reilly Automotive Inc,3.71,23.53,9,19.82
OVLY,OAK VALLEY BANCORP,0.69,2.0,8,1.31
PAYX,"Paychex, Inc.",1.42,3.04,9,1.62
PLBC,Plumas Bancorp,0.05,2.77,8,2.72
PNFP,Pinnacle Financial Partners Inc.,0.06,0.37,8,0.31
PNFPP,Pinnacle Financial Partners Inc.,0.06,0.37,8,0.31
POOL,POOL CORPORATION,1.47,8.97,9,7.500000000000001
SAIA,"Saia, Inc.",0.47,5.2,8,4.73
SEIC,SEI INVESTMENTS COMPANY,1.11,3.0,8,1.89
TROW,PRICE T ROWE GROUP INC,2.92,9.98,9,7.0600000000000005
TSCO,TRACTOR SUPPLY CO /DE/,1.51,6.38,9,4.87
UFPI,"UFP INDUSTRIES, INC.",0.23,4.0,8,3.77
VRSN,VERISIGN INC/CA,0.86,7.07,8,6.21
WAFD,"WAFD, INC.",1.0,2.26,8,1.2599999999999998
WAFDP,"WAFD, INC.",1.0,2.26,8,1.2599999999999998
WASH,Washington Trust Bancorp Inc,1.82,4.0,8,2.1799999999999997
WDFC,WD-40 COMPANY,2.14,4.4,8,2.2600000000000002
XEL,Xcel Energy Inc.,1.72,2.79,8,1.07
AJG,ARTHUR J. GALLAGHER & CO.,1.28,4.2,8,2.92
AME,"AMETEK, Inc.",1.58,3.77,8,2.19
ASB,Associated Banc-Corp,0.66,1.86,8,1.2000000000000002
ASBA,Associated Banc-Corp,0.66,1.86,8,1.2000000000000002
AX,"AXOS FINANCIAL, INC.",1.87,2.98,8,1.1099999999999999
AZO,AUTOZONE INC,19.47,71.93,9,52.46000000000001
CBAN,"COLONY BANKCORP, INC.",0.13,1.66,8,1.5299999999999998
CBZ,"CBIZ, Inc.",0.56,1.41,8,0.8499999999999999
CLX,THE CLOROX COMPANY,4.02,7.36,8,3.3400000000000007
CMG,"CHIPOTLE MEXICAN GRILL, INC.",6.76,12.52,8,5.76
DG,DOLLAR GENERAL CORP,2.22,10.62,9,8.399999999999999
DHI,"D.R. Horton, Inc.",0.23,6.41,8,6.18
EPAM,"EPAM SYSTEMS, INC.",0.27,5.6,8,5.33
GBCI,"GLACIER BANCORP, INC.",0.24,2.81,8,2.5700000000000003
HD,"HOME DEPOT, INC.",2.47,11.94,9,9.469999999999999
IDA,"IDACORP, Inc.",3.43,4.69,9,1.2600000000000002
IT,"Gartner, Inc.",1.39,2.96,8,1.57
KMX,"CARMAX, INC.",1.79,5.33,8,3.54
LAD,"Lithia Motors, Inc.",2.21,19.53,9,17.32
LCII,LCI INDUSTRIES,1.34,6.27,9,4.93
LMT,LOCKHEED MARTIN CORPORATION,7.81,24.3,8,16.490000000000002
LOW,"LOWE’S COMPANIES, INC.",1.43,7.75,8,6.32
MCO,Moody’s Corporation,2.49,9.39,8,6.9
MLM,"MARTIN MARIETTA MATERIALS, INC.",1.78,11.54,8,9.76
MMC,"Marsh & McLennan Companies, Inc.",1.79,3.94,8,2.15
MSCI,MSCI INC.,1.41,7.12,8,5.71
NOC,NORTHROP GRUMMAN CORP /DE/,7.52,19.03,8,11.510000000000002
NVR,"NVR, Inc.",23.01,230.11,9,207.10000000000002
PNW,PINNACLE WEST CAPITAL CORPORATION,3.09,4.87,8,1.7800000000000002
PRI,"Primerica, Inc.",2.08,9.57,8,7.49
SNA,Snap-on Inc,4.71,11.44,8,6.7299999999999995
SSD,"Simpson Manufacturing Co., Inc.",1.04,4.27,8,3.2299999999999995
THO,"THOR Industries, Inc.",1.92,4.02,8,2.0999999999999996
TMO,THERMO FISHER SCIENTIFIC INC.,3.46,15.96,8,12.5
TTC,THE TORO COMPANY,1.85,3.03,8,1.1799999999999997
UHS,"UNIVERSAL HEALTH SERVICES, INC.",4.04,10.99,9,6.95
UNH,UnitedHealth Group Incorporated,4.73,16.03,9,11.3
USB,US BANCORP \DE\,2.46,3.06,8,0.6000000000000001
WAL,WESTERN ALLIANCE BANCORPORATION,0.19,5.04,9,4.85
WSO,"WATSCO, INC.",2.74,7.01,8,4.27
WST,"WEST PHARMACEUTICAL SERVICES, INC.",1.08,4.57,8,3.49
